seed,target,success,path_len,sp_len,stretch,failure_reason
45,3,False,0,inf,inf,dead_end
45,13,False,0,inf,inf,dead_end
45,126,False,0,inf,inf,dead_end
45,173,False,0,inf,inf,dead_end
45,138,False,0,inf,inf,dead_end
45,143,False,0,inf,inf,dead_end
45,118,False,0,inf,inf,dead_end
45,119,False,0,inf,inf,dead_end
45,205,False,0,inf,inf,dead_end
45,208,False,0,inf,inf,dead_end
45,60,False,0,inf,inf,dead_end
45,64,False,0,inf,inf,dead_end
45,192,False,0,inf,inf,dead_end
45,91,False,0,inf,inf,dead_end
45,227,False,0,inf,inf,dead_end
45,4,False,0,inf,inf,dead_end
45,5,False,0,inf,inf,dead_end
45,246,False,0,inf,inf,dead_end
45,196,False,0,inf,inf,dead_end
45,85,False,0,inf,inf,dead_end
13,3,True,1,1.0,1.0,
13,126,True,2,2.0,1.0,
13,173,True,1,1.0,1.0,
13,138,True,18,2.0,9.0,
13,143,True,6,2.0,3.0,
13,118,True,1,1.0,1.0,
13,119,True,2,2.0,1.0,
13,205,True,6,3.0,2.0,
13,208,True,7,2.0,3.5,
13,60,True,3,3.0,1.0,
13,64,False,13,3.0,inf,dead_end
13,192,True,10,3.0,3.3333333333333335,
13,91,False,25,3.0,inf,dead_end
13,227,True,9,3.0,3.0,
13,4,True,1,1.0,1.0,
13,5,True,5,2.0,2.5,
13,246,False,12,3.0,inf,dead_end
13,196,True,7,2.0,3.5,
13,85,True,1,1.0,1.0,
3,13,True,1,1.0,1.0,
3,126,True,1,1.0,1.0,
3,173,True,2,2.0,1.0,
3,138,True,18,2.0,9.0,
3,143,True,7,3.0,2.3333333333333335,
3,118,True,2,2.0,1.0,
3,119,True,1,1.0,1.0,
3,205,True,6,3.0,2.0,
3,208,True,6,3.0,2.0,
3,60,True,2,2.0,1.0,
3,64,True,2,2.0,1.0,
3,192,False,2,2.0,inf,dead_end
3,91,False,14,2.0,inf,dead_end
3,227,True,9,3.0,3.0,
3,4,True,6,2.0,3.0,
3,5,True,1,1.0,1.0,
3,246,False,12,4.0,inf,dead_end
3,196,True,9,2.0,4.5,
3,85,True,2,2.0,1.0,
85,3,True,1,1.0,1.0,
85,13,True,2,2.0,1.0,
85,126,False,7,2.0,inf,dead_end
85,173,False,7,2.0,inf,dead_end
85,138,True,13,3.0,4.333333333333333,
85,143,True,1,1.0,1.0,
85,118,True,2,2.0,1.0,
85,119,True,1,1.0,1.0,
85,205,True,5,2.0,2.5,
85,208,True,5,3.0,1.6666666666666667,
85,60,True,3,3.0,1.0,
85,64,False,15,3.0,inf,dead_end
85,192,True,2,2.0,1.0,
85,91,False,22,3.0,inf,dead_end
85,227,True,3,3.0,1.0,
85,4,True,6,2.0,3.0,
85,5,True,1,1.0,1.0,
85,246,False,12,2.0,inf,dead_end
85,196,True,6,2.0,3.0,
87,3,True,2,2.0,1.0,
87,13,True,1,1.0,1.0,
87,126,False,7,2.0,inf,dead_end
87,173,False,7,2.0,inf,dead_end
87,138,True,16,3.0,5.333333333333333,
87,143,True,8,2.0,4.0,
87,118,True,1,1.0,1.0,
87,119,True,2,2.0,1.0,
87,205,True,5,3.0,1.6666666666666667,
87,208,True,5,3.0,1.6666666666666667,
87,60,True,3,3.0,1.0,
87,64,False,15,4.0,inf,dead_end
87,192,True,1,1.0,1.0,
87,91,False,25,3.0,inf,dead_end
87,227,True,4,3.0,1.3333333333333333,
87,4,True,1,1.0,1.0,
87,5,True,5,2.0,2.5,
87,246,False,12,3.0,inf,dead_end
87,196,True,7,2.0,3.5,
87,85,True,1,1.0,1.0,
